GRUPO VASALF S.R.L. - RNC 131609368,,,,,,
Reporte NCF - Junio 2026,,,,,,
Generado el 09/07/2026 09:24:19 AM,,,,,,
,,,,,,
28708740013 - CUENTA CORRIENTE,,,,,,
NCF: E310015585060,,,,,,
,,,,,,
RNC,Fecha,Referencia,Descripción,Moneda,Monto orig.,Monto RD$
131609368,30/06/2026,F7I4877396,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,30/06/2026,F7I4867036,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,30/06/2026,9893402176,Comision Mensual Mant. Cuenta,Pesos,250.00,250.00
131609368,29/06/2026,F7I4760887,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,29/06/2026,F7I4760550,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,26/06/2026,F7I4696448,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,26/06/2026,F7I4692014,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,26/06/2026,F7I4699039,Com. Pago al Inst. RD$,Pesos,110.00,110.00
131609368,25/06/2026,F7I4657884,Com. Pago al Inst. RD$,Pesos,110.00,110.00
131609368,25/06/2026,F7I4649057,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,24/06/2026,F7I4627053,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,24/06/2026,F7I4627204,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,23/06/2026,F7I4564129,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,23/06/2026,F7I4564092,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,22/06/2026,F7I4540408,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,22/06/2026,F7I4536271,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,22/06/2026,F7I4536392,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,22/06/2026,F7I4534145,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,19/06/2026,F7I4468760,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,16/06/2026,F7I4313074,Com. x Aprobadas BKW-NOM-RD$,Pesos,60.00,60.00
131609368,16/06/2026,F7I4321113,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,16/06/2026,F7I4320983,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,16/06/2026,F7I4352672,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,15/06/2026,F7I4288442,Com. Pago al Inst. RD$,Pesos,110.00,110.00
131609368,09/06/2026,F7I4034950,Com. x Aprobadas BKW-ACH-RD$,Pesos,12.00,12.00
131609368,05/06/2026,F7I3895870,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
131609368,01/06/2026,F7I3700261,Com. x Aprobadas BKW-PAT-RD$,Pesos,10.00,10.00
,,,,,Total,876.00
NCF: E310015585059,,,,,,
,,,,,,
RNC,Fecha,Referencia,Descripción,Moneda,Monto orig.,Monto RD$
131609368,30/06/2026,8467210382,Imp. transferencia o cheque,Pesos,1.50,1.50
131609368,29/06/2026,F7I4733117,Imp. transferencia o cheque,Pesos,7.95,7.95
131609368,29/06/2026,9892810838,Imp. transferencia o cheque,Pesos,12.30,12.30
131609368,26/06/2026,8467144833,Imp. transferencia o cheque,Pesos,48.00,48.00
131609368,26/06/2026,8467143290,Imp. transferencia o cheque,Pesos,10.49,10.49
131609368,26/06/2026,F7I4699038,Impuesto por transferencia,Pesos,30.00,30.00
131609368,25/06/2026,8467128814,Imp. transferencia o cheque,Pesos,450.00,450.00
131609368,24/06/2026,8467122262,Imp. transferencia o cheque,Pesos,3.00,3.00
131609368,24/06/2026,8467122330,Imp. transferencia o cheque,Pesos,2.10,2.10
131609368,23/06/2026,9892262707,Imp. transferencia o cheque,Pesos,0.30,0.30
131609368,23/06/2026,9892254478,Imp. transferencia o cheque,Pesos,15.00,15.00
131609368,22/06/2026,F7I4524069,Imp. transferencia o cheque,Pesos,0.75,0.75
131609368,22/06/2026,8467091402,Imp. transferencia o cheque,Pesos,1.50,1.50
131609368,22/06/2026,8467092158,Imp. transferencia o cheque,Pesos,0.60,0.60
131609368,22/06/2026,8467092126,Imp. transferencia o cheque,Pesos,0.90,0.90
131609368,19/06/2026,F7I4443526,Imp. transferencia o cheque,Pesos,9.00,9.00
131609368,16/06/2026,8467015318,Imp. transferencia o cheque,Pesos,134.26,134.26
131609368,16/06/2026,8467018313,Imp. transferencia o cheque,Pesos,7.50,7.50
131609368,16/06/2026,8467028386,Imp. transferencia o cheque,Pesos,1.50,1.50
131609368,16/06/2026,8467018272,Imp. transferencia o cheque,Pesos,6.00,6.00
131609368,09/06/2026,9899463491,Imp. transferencia o cheque,Pesos,14.25,14.25
131609368,05/06/2026,8466868270,Imp. transferencia o cheque,Pesos,1.50,1.50
131609368,01/06/2026,8466804466,Imp. transferencia o cheque,Pesos,22.50,22.50
,,,,,Total,780.90
,,,,,Total Neto Cargos Producto ,"$1,656.90"
,,,,,,
